ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,219,"Công nghệ Thực phẩm (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",60.11,"A00, B00, D07",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,147,Địa Kỹ thuật xây dựng,55.38,"A00, A01, D07",2024,1
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,106,Khoa học Máy tính; Kỹ thuật Máy tính; (Nhóm ngành),84.16,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,146,Khoa học dữ liệu,82.14,"A00, A01",2024,1
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,266,"Khoa học Máy tính - (CLC tăng cường tiếng Nhật) (CT Chất lượng cao, tiên tiến)",79.63,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,206,"Khoa học Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",83.63,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,229,Kĩ thuật vật liệu (chuyên ngành Kỹ thuật Vật liệu công nghệ cao),57.96,"A00, A01, D07",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,217,Kiến trúc (Kiến Trúc Cảnh Quan),61.08,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,117,Kiến trúc,70.85,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,148,Kinh tế xây dựng,58.59,"A00, A01",2024,1
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,210,"Kỹ thuật Cơ điện tử (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",78.0,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,208,"Kỹ thuật Điện - Điện tử (CT Tiên tiến, giảng dạy bằng tiếng Anh, học phí tương ứng)",76.71,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,109,Kỹ thuật Cơ khí; Kỹ thuật Cơ điện tử; (Nhóm ngành),73.89,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,112,Kỹ thuật Dệt; Công nghệ Dệt may; (Nhóm ngành),55.51,"A00, A01",2024,0
