ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP18,Quản trị giải trí và sự kiện,"A01, D01, D09, D10",34.41,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7210403,Thiết kế đồ họa - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"H00, H01, H02, H03",30.22,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7220201,Ngôn ngữ Anh -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"D01, D11",32.67,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340101,Quản trị kinh doanh (Chuyên ngành: Quản trị nguồn nhân lực) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, D01",31.75,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340115,Marketing -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, D01",32.31,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340120,Kinh doanh quốc tế - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, D01",32.23,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7380101,Luật - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, C01, D01",31.11,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480101,Khoa học máy tính - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, D01",32.98,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480103,Kỹ thuật phần mềm - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,"A00, A01, D01",32.21,0,2025
NHH,Học viện Ngân hàng,Hà Nội,FIN01,CLC Tài chính,"A00, A01, D01, D07",33.9,0,2025
HQT,Học viện Ngoại giao,Hà Nội,HQT02,Ngôn ngữ Anh,"A01, D01, D07",34.85,0,2025
NHH,Học viện Ngân hàng,Hà Nội,IB04,Kinh doanh quốc tế CLC,"A01, D01, D07, D09",34.4,1,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE1,Quản trị khách sạn,"A01, D01, D07, D09",36.19,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE2,Quản trị lữ hành,"A01, D01, D07, D09",36.16,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE3,Truyền thông Marketing,"A01, D01, D07, D09",36.38,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE4,Luật kinh doanh,"A01, D01, D07, D09",36.64,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE5,Quản trị kinh doanh thương mại,"A01, D01, D07, D09",36.64,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE6,Quản lí thị trường,"A01, D01, D07, D09",35.98,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE7,Thẩm định giá,"A01, D01, D07, D09",35.98,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE40,Quản trị kinh doanh (CLC),"A01, D01, D09, D10",34.92,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE41,Tài chính - Ngân hàng (CLC),"A01, D01, D09, D10",34.81,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE42,Kế toán (CLC),"A01, D01, D09, D10",34.81,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE43,Kinh tế quốc tế (CLC),"A01, D01, D09, D10",34.75,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE44,Kinh tế (CLC),"A01, D01, D09, D10",34.82,0,2025
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE45,Kinh tế phát triển (CLC),"A01, D01, D09, D10",34.82,0,2025
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT01,Toán học,"A00, A01, D07, D08",34.35,0,2025
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT02,Toán tin,"A00, A01, D07, D08",34.49,0,2025
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT93,Khoa học dữ liệu,"A00, A01, D07, D08",34.64,0,2025
QHT,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,Hà Nội,QHT98,Khoa học máy tính và thông tin*,"A00, A01, D07, D08",34.58,0,2025
