ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE2,Quản trị lữ hành,35.65,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP11,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2),35.75,"A01, D01, D09, D10",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE6,Quản lí thị trường,35.65,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE1,Quản trị khách sạn,35.65,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE7,Thẩm định giá,35.85,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310107,Thống kê kinh tế,36.2,"A00, A01, D01, D07",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310108,Toán kinh tế,36.2,"A00, A01, D01, D07",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE3,Truyền thông Marketing,37.1,"A01, D01, D07, D09",2023,0
HTC,Học viện Tài chính,Hà Nội,7340201C06,Hải quan & Logistics,35.51,"A01, D01, D07",2023,0
HTC,Học viện Tài chính,Hà Nội,7220201,Ngôn ngữ Anh,34.4,"A01, D01, D07",2023,0
HTC,Học viện Tài chính,Hà Nội,7340201C09,Phân tích tài chính,34.6,"A01, D01, D07",2023,0
HTC,Học viện Tài chính,Hà Nội,7340201C11,Tài chính doanh nghiệp,34.25,"A01, D01, D07",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220203,Ngôn ngữ Pháp,34.12,"D01, D03, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220205,Ngôn ngữ Đức,34.35,"D01, D05, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,35.4,"D01, D78, D90",2023,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,35.55,"D01, D04, D78, D90",2023,0
